4.7303e+11,3.0736e+10,5.957,1.0039e+12,6.544e+10,6.0494
3.8884e+11,1.9391e+10,5.8799,9.1472e+11,5.3407e+10,6.0483
3.2714e+11,1.1232e+10,5.7708,8.3636e+11,4.3398e+10,6.0016
2.8802e+11,6.2571e+09,5.6246,7.6953e+11,3.5028e+10,5.9517
2.6353e+11,3.5249e+09,5.4704,7.1574e+11,2.8605e+10,5.8649
2.4956e+11,2.4346e+09,5.313,6.7716e+11,2.4151e+10,5.7803
2.4149e+11,1.8546e+09,5.2068,6.5104e+11,2.0922e+10,5.7383
2.3674e+11,1.6208e+09,5.1305,6.3842e+11,1.8844e+10,5.7546
2.3456e+11,1.4652e+09,5.1034,6.4355e+11,1.8958e+10,5.7893
2.3637e+11,1.2794e+09,5.1737,6.7023e+11,2.1811e+10,5.8365
2.5505e+11,1.7251e+09,5.5306,7.1815e+11,2.7864e+10,5.8549
